year,round,from_country_id,to_country_id,total_points,tele_points,jury_points
1958,f,ch,de,0,,
1958,f,ch,dk,0,,
1958,f,ch,nl,1,,
1958,f,ch,lu,1,,
1959,f,at,nl,3,,
1959,f,at,gb,2,,
1959,f,at,fr,1,,
1959,f,at,ch,1,,
1959,f,at,dk,2,,
1959,f,at,it,0,,
1959,f,at,be,0,,
1959,f,at,de,0,,
1959,f,at,se,0,,
1959,f,at,at,0,,
1959,f,at,mc,1,,
1959,f,be,nl,3,,
1959,f,be,gb,2,,
1959,f,be,fr,2,,
1959,f,be,ch,1,,
1959,f,be,dk,0,,
1959,f,be,it,1,,
1959,f,be,be,0,,
1959,f,be,de,1,,
1959,f,be,se,0,,
1959,f,be,at,0,,
1959,f,be,mc,0,,
1959,f,dk,nl,0,,
1959,f,dk,gb,1,,
1959,f,dk,fr,4,,
1959,f,dk,ch,2,,
1959,f,dk,dk,0,,
1959,f,dk,it,0,,
1959,f,dk,be,2,,
1959,f,dk,de,0,,
1959,f,dk,se,1,,
1959,f,dk,at,0,,
1959,f,dk,mc,0,,
1959,f,fr,nl,4,,
1959,f,fr,gb,1,,
1959,f,fr,fr,0,,
1959,f,fr,ch,0,,
1959,f,fr,dk,0,,
1959,f,fr,it,3,,
1959,f,fr,be,0,,
1959,f,fr,de,2,,
1959,f,fr,se,0,,
1959,f,fr,at,0,,
1959,f,fr,mc,0,,
1959,f,de,nl,2,,
1959,f,de,gb,0,,
1959,f,de,fr,4,,
1959,f,de,ch,1,,
1959,f,de,dk,0,,
1959,f,de,it,0,,
1959,f,de,be,3,,
1959,f,de,de,0,,
1959,f,de,se,0,,
1959,f,de,at,0,,
1959,f,de,mc,0,,
1959,f,it,nl,7,,
1959,f,it,gb,0,,
1959,f,it,fr,1,,
1959,f,it,ch,0,,
1959,f,it,dk,1,,
1959,f,it,it,0,,
1959,f,it,be,0,,
1959,f,it,de,1,,
1959,f,it,se,0,,
1959,f,it,at,0,,
1959,f,it,mc,0,,
1959,f,mc,nl,1,,
1959,f,mc,gb,2,,
1959,f,mc,fr,2,,
1959,f,mc,ch,1,,
1959,f,mc,dk,1,,
1959,f,mc,it,1,,
1959,f,mc,be,1,,
1959,f,mc,de,0,,
1959,f,mc,se,0,,
1959,f,mc,at,1,,
1959,f,mc,mc,0,,
1959,f,nl,nl,0,,
1959,f,nl,gb,5,,
1959,f,nl,fr,0,,
1959,f,nl,ch,0,,
1959,f,nl,dk,1,,
1959,f,nl,it,0,,
1959,f,nl,be,1,,
1959,f,nl,de,0,,
1959,f,nl,se,3,,
1959,f,nl,at,0,,
1959,f,nl,mc,0,,
1959,f,se,nl,0,,
1959,f,se,gb,0,,
1959,f,se,fr,0,,
1959,f,se,ch,3,,
1959,f,se,dk,4,,
1959,f,se,it,1,,
1959,f,se,be,0,,
1959,f,se,de,0,,
1959,f,se,se,0,,
1959,f,se,at,2,,
1959,f,se,mc,0,,
1959,f,ch,nl,0,,
1959,f,ch,gb,3,,
1959,f,ch,fr,1,,
1959,f,ch,ch,0,,
1959,f,ch,dk,1,,
1959,f,ch,it,3,,
1959,f,ch,be,0,,
1959,f,ch,de,1,,
1959,f,ch,se,0,,
1959,f,ch,at,1,,
1959,f,ch,mc,0,,
1959,f,gb,nl,1,,
1959,f,gb,gb,0,,
1959,f,gb,fr,0,,
1959,f,gb,ch,5,,
1959,f,gb,dk,2,,
1959,f,gb,it,0,,
1959,f,gb,be,2,,
1959,f,gb,de,0,,
1959,f,gb,se,0,,
1959,f,gb,at,0,,
1959,f,gb,mc,0,,
1960,f,at,fr,1,,
1960,f,at,gb,3,,
1960,f,at,mc,0,,
1960,f,at,no,1,,
1960,f,at,de,2,,
1960,f,at,be,1,,
1960,f,at,at,0,,
1960,f,at,ch,2,,
1960,f,at,it,0,,
1960,f,at,se,0,,
1960,f,at,dk,0,,
1960,f,at,nl,0,,
1960,f,at,lu,0,,
1960,f,be,fr,3,,
1960,f,be,gb,1,,
1960,f,be,mc,0,,
1960,f,be,no,1,,
1960,f,be,de,2,,
1960,f,be,be,0,,
1960,f,be,at,1,,
1960,f,be,ch,0,,
1960,f,be,it,1,,
1960,f,be,se,0,,
1960,f,be,dk,0,,
1960,f,be,nl,1,,
1960,f,be,lu,0,,
1960,f,dk,fr,4,,
1960,f,dk,gb,0,,
1960,f,dk,mc,2,,
1960,f,dk,no,2,,
1960,f,dk,de,0,,
1960,f,dk,be,0,,
1960,f,dk,at,2,,
1960,f,dk,ch,0,,
1960,f,dk,it,0,,
1960,f,dk,se,0,,
1960,f,dk,dk,0,,
1960,f,dk,nl,0,,
1960,f,dk,lu,0,,
1960,f,fr,fr,0,,
1960,f,fr,gb,0,,
1960,f,fr,mc,3,,
1960,f,fr,no,1,,
1960,f,fr,de,4,,
1960,f,fr,be,0,,
1960,f,fr,at,0,,
1960,f,fr,ch,0,,
1960,f,fr,it,0,,
1960,f,fr,se,2,,
1960,f,fr,dk,0,,
1960,f,fr,nl,0,,
1960,f,fr,lu,0,,
1960,f,de,fr,1,,
1960,f,de,gb,1,,
1960,f,de,mc,7,,
1960,f,de,no,0,,
1960,f,de,de,0,,
1960,f,de,be,1,,
1960,f,de,at,0,,
1960,f,de,ch,0,,
1960,f,de,it,0,,
1960,f,de,se,0,,
1960,f,de,dk,0,,
1960,f,de,nl,0,,
1960,f,de,lu,0,,
1960,f,it,fr,0,,
1960,f,it,gb,2,,
1960,f,it,mc,0,,
1960,f,it,no,0,,
1960,f,it,de,0,,
1960,f,it,be,3,,
1960,f,it,at,1,,
1960,f,it,ch,1,,
1960,f,it,it,0,,
1960,f,it,se,1,,
1960,f,it,dk,0,,
1960,f,it,nl,1,,
1960,f,it,lu,1,,
1960,f,lu,fr,1,,
1960,f,lu,gb,5,,
1960,f,lu,mc,1,,
1960,f,lu,no,0,,
1960,f,lu,de,0,,
1960,f,lu,be,0,,
1960,f,lu,at,0,,
1960,f,lu,ch,1,,
1960,f,lu,it,1,,
1960,f,lu,se,0,,
1960,f,lu,dk,1,,
1960,f,lu,nl,0,,
1960,f,lu,lu,0,,
1960,f,mc,fr,5,,
1960,f,mc,gb,1,,
1960,f,mc,mc,0,,
1960,f,mc,no,0,,
1960,f,mc,de,2,,
1960,f,mc,be,0,,
1960,f,mc,at,0,,
1960,f,mc,ch,0,,
1960,f,mc,it,2,,
1960,f,mc,se,0,,
1960,f,mc,dk,0,,
1960,f,mc,nl,0,,
1960,f,mc,lu,0,,
1960,f,nl,fr,2,,
1960,f,nl,gb,5,,
1960,f,nl,mc,0,,
1960,f,nl,no,1,,
1960,f,nl,de,0,,
1960,f,nl,be,0,,
1960,f,nl,at,0,,
1960,f,nl,ch,0,,
1960,f,nl,it,1,,
1960,f,nl,se,1,,
1960,f,nl,dk,0,,
1960,f,nl,nl,0,,
1960,f,nl,lu,0,,
1960,f,no,fr,5,,
1960,f,no,gb,2,,
1960,f,no,mc,0,,
1960,f,no,no,0,,
1960,f,no,de,0,,
1960,f,no,be,0,,
1960,f,no,at,0,,
1960,f,no,ch,1,,
1960,f,no,it,0,,
1960,f,no,se,0,,
1960,f,no,dk,2,,
1960,f,no,nl,0,,
1960,f,no,lu,0,,
1960,f,se,fr,4,,
1960,f,se,gb,1,,
1960,f,se,mc,0,,
1960,f,se,no,0,,
1960,f,se,de,1,,
1960,f,se,be,4,,
1960,f,se,at,0,,
1960,f,se,ch,0,,
1960,f,se,it,0,,
1960,f,se,se,0,,
1960,f,se,dk,0,,
1960,f,se,nl,0,,
1960,f,se,lu,0,,
1960,f,ch,fr,1,,
1960,f,ch,gb,4,,
1960,f,ch,mc,1,,
1960,f,ch,no,4,,
1960,f,ch,de,0,,
1960,f,ch,be,0,,
1960,f,ch,at,0,,
1960,f,ch,ch,0,,
1960,f,ch,it,0,,
1960,f,ch,se,0,,
1960,f,ch,dk,0,,
1960,f,ch,nl,0,,
1960,f,ch,lu,0,,
1960,f,gb,fr,5,,
1960,f,gb,gb,0,,
1960,f,gb,mc,1,,
1960,f,gb,no,1,,
1960,f,gb,de,0,,
1960,f,gb,be,0,,
1960,f,gb,at,2,,
1960,f,gb,ch,0,,
1960,f,gb,it,0,,
1960,f,gb,se,0,,
1960,f,gb,dk,1,,
1960,f,gb,nl,0,,
1960,f,gb,lu,0,,
1961,f,at,lu,4,,
1961,f,at,gb,0,,
1961,f,at,ch,2,,
1961,f,at,fr,0,,
1961,f,at,dk,0,,
1961,f,at,it,0,,
1961,f,at,no,0,,
1961,f,at,yu,3,,
1961,f,at,es,0,,
1961,f,at,mc,0,,
1961,f,at,fi,0,,
1961,f,at,nl,0,,
1961,f,at,de,1,,
1961,f,at,se,0,,
1961,f,at,at,0,,
1961,f,at,be,0,,
1961,f,be,lu,0,,
1961,f,be,gb,1,,
1961,f,be,ch,0,,
1961,f,be,fr,0,,
1961,f,be,dk,0,,
1961,f,be,it,4,,
1961,f,be,no,5,,
1961,f,be,yu,0,,
1961,f,be,es,0,,
1961,f,be,mc,0,,
1961,f,be,fi,0,,
1961,f,be,nl,0,,
1961,f,be,de,0,,
1961,f,be,se,0,,
1961,f,be,at,0,,
1961,f,be,be,0,,
1961,f,dk,lu,1,,
1961,f,dk,gb,1,,
1961,f,dk,ch,0,,
1961,f,dk,fr,0,,
1961,f,dk,dk,0,,
1961,f,dk,it,4,,
1961,f,dk,no,1,,
1961,f,dk,yu,1,,
1961,f,dk,es,0,,
1961,f,dk,mc,0,,
1961,f,dk,fi,1,,
1961,f,dk,nl,0,,
1961,f,dk,de,1,,
1961,f,dk,se,0,,
1961,f,dk,at,0,,
1961,f,dk,be,0,,
1961,f,fi,lu,3,,
1961,f,fi,gb,0,,
1961,f,fi,ch,0,,
1961,f,fi,fr,1,,
1961,f,fi,dk,1,,
1961,f,fi,it,0,,
1961,f,fi,no,2,,
1961,f,fi,yu,0,,
1961,f,fi,es,0,,
1961,f,fi,mc,3,,
1961,f,fi,fi,0,,
1961,f,fi,nl,0,,
1961,f,fi,de,0,,
1961,f,fi,se,0,,
1961,f,fi,at,0,,
